ORIGIN,DEP_DELAY_NEW,DEP_DEL15,n_flights,avg_delay,pct_delay_flight,origin_city,origin_lat,origin_long
TUS,107820.0,1287.0,8593,12.547422320493425,14.977307110438728,,,
TVC,18283.0,165.0,1056,17.31344696969697,15.625,,,
TWF,9887.0,115.0,582,16.987972508591064,19.759450171821307,,,
TXK,4792.0,52.0,477,10.046121593291405,10.90146750524109,,,
TYR,7647.0,97.0,570,13.41578947368421,17.017543859649123,,,
TYS,99570.0,1122.0,7314,13.613617719442166,15.340442986054143,,,
UIN,5903.0,50.0,264,22.359848484848484,18.939393939393938,,,
USA,5422.0,83.0,478,11.343096234309623,17.364016736401673,,,
VEL,4605.0,38.0,259,17.77992277992278,14.671814671814673,,,
VLD,6041.0,50.0,426,14.18075117370892,11.737089201877934,,,
VPS,43134.0,482.0,3116,13.842747111681643,15.468549422336327,,,
WRG,3460.0,35.0,302,11.456953642384105,11.589403973509933,,,
WYS,239.0,3.0,30,7.966666666666667,10.0,,,
XNA,83061.0,965.0,5642,14.721907125132931,17.103863878057428,,,
YAK,2630.0,41.0,300,8.766666666666667,13.666666666666666,,,
YUM,7514.0,82.0,742,10.126684636118599,11.05121293800539,,,
